StationId,StationName,City,Provider,Latitude,Longitude
5610,"North Campus, DU, Delhi - IMD",,CPCB,28.6573814,77.1585447
5612,"Shastri Nagar, Jaipur - RSPCB",,CPCB,26.9502929,75.730943
5613,"ITO, New Delhi - CPCB",,CPCB,28.628624,77.24106
5614,"Padmapukur, Howrah - WBPCB",,CPCB,22.5687319,88.2797276
5615,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",,CPCB,23.5404352,87.2892225
5616,"Sector - 62, Noida, UP - IMD",,CPCB,28.6245479,77.3577104
5619,"Vindhyachal STPS, Singrauli - MPPCB",,CPCB,24.10897,82.64558
5621,"Opp GPO Civil Lines, Nagpur - MPCB",,CPCB,21.152875,79.0517531
5622,"NSIT Dwarka, Delhi - CPCB",,CPCB,28.60909,77.0325413
5623,"Central University, Hyderabad - TSPCB",,CPCB,17.460103,78.334361
5624,"IDA Pashamylaram, Hyderabad - TSPCB",,CPCB,17.5316895,78.218939
5625,"RIMT University, Mandi Gobindgarh - PPCB",,CPCB,30.649961,76.331442
5626,"DTU, New Delhi - CPCB",,CPCB,28.7500499,77.1112615
5627,"CRRI Mathura Road, New Delhi - IMD",,CPCB,28.5512005,77.2735737
5628,"GVM Corporation, Visakhapatnam - APPCB",,CPCB,17.722682,83.308197
5630,"Shadipur, Delhi - CPCB",,CPCB,28.6514781,77.1473105
5631,"Maninagar, Ahmedabad - GPCB",,CPCB,23.002657,72.591912
5632,"Sector-D Industrial Area, Mandideep - MPPCB",,CPCB,23.10844,77.511428
5633,"Police Commissionerate, Jaipur - RSPCB",,CPCB,26.9164092,75.7994901
5634,"Lodhi Road, New Delhi - IMD",,CPCB,28.5918245,77.2273074
5635,"Adarsh Nagar, Jaipur - RSPCB",,CPCB,26.902909,75.836858
5636,"Shrinath Puram, Kota - RSPCB",,CPCB,25.14389,75.821256
5638,"Indira Colony Vistar, Pali - RSPCB",,CPCB,25.771061,73.340227
5642,"More Chowk Waluj, Aurangabad - MPCB",,CPCB,19.8389439,75.244448
5644,"Sanegurava Halli, Bengaluru - KSPCB",,CPCB,12.990328,77.5431385
5645,"ICRISAT Patancheru, Hyderabad - TSPCB",,CPCB,17.5184,78.278777
5646,"Plammoodu, Thiruvananthapuram - Kerala PCB",,CPCB,8.5149093,76.9435879
5647,"Sanathnagar, Hyderabad - TSPCB",,CPCB,17.4559458,78.4332152
5648,"Ward-32 Bapupara, Siliguri - WBPCB",,CPCB,26.6883049,88.412668
5649,"Tirumala, Tirupati - APPCB",,CPCB,13.67,79.35
5650,"IGI Airport (T3), Delhi - IMD",,CPCB,28.5627763,77.1180053
5652,"IGSC Planetarium Complex, Patna - BSPCB",,CPCB,25.5941,85.1376
5655,"Velachery Res. Area, Chennai - CPCB",,CPCB,13.0052189,80.2398125
5659,"Lalbagh, Lucknow - CPCB",,CPCB,26.8458805,80.9365541
5661,"Karve Road Pune, Pune - MPCB",,CPCB,18.5011743,73.8165527
